Word1,Word2,Offset1,Offset2,Resource,Appearances
tree,bark,13104059-n,13162297-n,"A++, Ar, HP, Q, T, VG",8
deer,antler,02430045-n,01325658-n,"Ar, HP, Q, T, VG",7
cat,eye,02121620-n,05311054-n,"Ar, HP, Q, T, VG",6
bird,tail,01503061-n,02157557-n,"Ar, HP, Q, T, VG",6
beach,sand,09217230-n,15019030-n,"A++, HP, Q, T, VG",6
hand,palm,05564590-n,05565696-n,"A++, Ar, HP, T, VG",6
head,eye,05538625-n,05311054-n,"A++, Ar, HP, T, VG",6
woman,baby,10787470-n,09827683-n,"A++, Ar, Q, T, VG",6
lion,mane,02129165-n,01899746-n,"Ar, HP, Q, T, VG",6
animal,eye,00015388-n,05311054-n,"Ar, HP, Q, T, VG",6
dog,nose,02084071-n,05598147-n,"Ar, HP, Q, T, VG",6
dog,mouth,02084071-n,05302499-n,"Ar, HP, Q, T, VG",5
giraffe,neck,02439033-n,05546540-n,"Ar, HP, Q, T, VG",5
mother,child,10332385-n,09917593-n,"A++, Q, T, VG",5
face,nose,05600637-n,05598147-n,"Ar, HP, T, VG",5
coin,gold,13388245-n,13371760-n,"Ar, HP, T, VG",5
angel,wing,09538915-n,02151625-n,"Ar, HP, T, VG",5
mouth,tongue,05302499-n,05301072-n,"Ar, HP, T, VG",5
sea,wave,09426788-n,07352190-n,"HP, Q, T, VG",5
planet,water,09394007-n,14845743-n,"A++, HP, Q, T",5
tooth,enamel,05282746-n,05308655-n,"A++, Ar, HP, T",5
lion,paw,02129165-n,02439929-n,"Ar, HP, Q, VG",5
eye,eyelid,05311054-n,05313822-n,"Ar, HP, T, VG",5
woman,career,10787470-n,00583246-n,"A++, T",5
menu,item,06492939-n,06482401-n,"A++, Ar, T, VG",5
mouse,tail,02330245-n,02157557-n,"Ar, HP, Q, T, VG",5
rabbit,ear,02324045-n,05320899-n,"Ar, HP, Q, T, VG",5
house,window,03544360-n,04587648-n,"Ar, Q, T, VG",5
lioness,mane,02129463-n,01899746-n,"Ar, Q, T",5
dog,hair,02084071-n,05254795-n,"HP, Q, T, VG",5
crab,shell,01976957-n,04190464-n,"Ar, Q, T",5
squirrel,tail,02355227-n,02157557-n,"Ar, HP, Q, T, VG",5
body,hand,05216365-n,05564590-n,"Ar, HP, T, VG",5
man,leg,10287213-n,05560787-n,"Ar, Q, T, VG",5
face,eye,05600637-n,05311054-n,"Ar, HP, T, VG",5
planet,gas,09394007-n,14481080-n,"A++, HP, Q, T",5
guy,beard,10153414-n,05261566-n,"Ar, Q, T, VG",5
mother,son,10332385-n,10624074-n,"A++, Ar, T, VG",5
album,song,06591815-n,07048000-n,"Ar, HP, T, VG",5
baby,leg,09827683-n,05560787-n,"Ar, HP, Q, T, VG",5
shoe,heel,04199027-n,03511426-n,"Ar, T, VG",4
immigrant,right,10199489-n,05174653-n,"A++, T",4
animal,hoof,00015388-n,02153959-n,"Ar, HP, T, VG",4
elephant,hair,02503517-n,05254795-n,"HP, Q, VG",4
furniture,plastic,03405725-n,14592610-n,A++,4
horse,hoof,02374451-n,02153959-n,"Ar, HP, Q, VG",4
child,hair,09917593-n,05254795-n,"Q, T, VG",4
person,tongue,00007846-n,05301072-n,"HP, Q, T, VG",4
shirt,collar,04197391-n,03068181-n,"Ar, T, VG",4
elephant,nostril,02503517-n,05600109-n,"Ar, HP, VG",4
people,hair,07942152-n,05254795-n,"Q, T, VG",4
shark,tooth,01482330-n,05282746-n,"Ar, HP, T, VG",4
buggy,wheel,02912557-n,04574999-n,"Ar, T, VG",4
foot,toenail,05563266-n,05584486-n,"Ar, HP, VG",4
wife,house,10780632-n,03544360-n,"A++, Ar, T",4
elephant,tusk,02503517-n,14757547-n,"Ar, Q, T",4
leg,thigh,05560787-n,05562249-n,"Ar, HP, VG",4
molecule,atom,14682133-n,14619225-n,"Ar, HP, T",4
person,body,00007846-n,05216365-n,"HP, Q, T, VG",4
life,purpose,13963192-n,05982152-n,"A++, HP, Q, T",4
body,hair,05216365-n,05254795-n,"HP, Q, T, VG",4
bull,horn,02403325-n,03537085-n,"Ar, T, VG",4
trunk,bark,13165815-n,13162297-n,"Ar, HP, VG",4
church,roof,08082602-n,04105068-n,"Ar, T, VG",4
game,face,00455599-n,05600637-n,"Ar, Q, T",4
eye,cornea,05311054-n,05317354-n,"Ar, HP",3
cat,pad,02121620-n,14973133-n,"Ar, VG",3
sandwich,meat,07695965-n,07649854-n,"A++, T, VG",3
handlebar,handle,03487090-n,03485997-n,"Ar, VG",3
human,hair,02472293-n,05254795-n,"HP, Q, T",3
neck,throat,05546540-n,05547508-n,"Ar, HP",3
metal,atom,14625458-n,14619225-n,"Ar, HP",3
rectum,anus,05537806-n,05538016-n,"Ar, HP",3
cortex,axon,05486510-n,05468849-n,"Ar, HP",3
centipede,thorax,01784675-n,05553618-n,"Ar, HP",3
neutrophil,nucleus,05453657-n,05434927-n,"HP, Q, T",3
daisy,stamen,11939491-n,11675096-n,"Ar, HP",3
chromosome,dna,05442131-n,14830364-n,"A++, HP",3
nucleus,chromatin,05434927-n,05436080-n,"Ar, HP",3
pig,eye,02395406-n,05311054-n,"Ar, HP, T",3
sunshine,photon,11485367-n,09391223-n,"Ar, HP",3
candida,hypha,13079419-n,13022538-n,"Ar, HP",3
larynx,cartilage,05529729-n,05288091-n,"A++, HP, Q",3
baby,nose,09827683-n,05598147-n,"Q, T, VG",3
glacier,moraine,09289331-n,09358907-n,"Ar, HP",3
seat,seat,08647616-n,08647616-n,"C, T, VG",3
foot,foot,05563266-n,05563266-n,"HP, T, VG",3
chin,mustache,05599617-n,05262185-n,"Ar, HP",3
fish,tooth,02512053-n,05282746-n,"Ar, HP, T",3
ape,tooth,02470325-n,05282746-n,"Ar, HP, T",3
toilet,water,04446276-n,14845743-n,"Q, T, VG",3
male,beard,01321230-n,05261566-n,"Ar, HP, T",3
door,glass,03221720-n,14881303-n,"A++, VG",3
man,belt,10287213-n,02827883-n,"Q, T, VG",3
duck,talon,01846331-n,02156413-n,"Ar, HP",3
dairy,window,03159535-n,04587648-n,Ar,2
car,part,02958343-n,13809207-n,"T, VG",2
phone,resistor,04401088-n,04079933-n,Ar,2
barn,roof,02793495-n,04105068-n,"T, VG",2
chicken,neck,07644967-n,05546540-n,"Q, VG",2
mom,energy,10278128-n,11452218-n,"Q, T",2
canada,rate,08820121-n,15286249-n,"Q, T",2
queen,guards,02313008-n,10150071-n,Q,2
nature,intent,04726724-n,05982152-n,"T, Un",2
stable,stall,04294879-n,04299370-n,Ar,2
palm,line,05565696-n,08430568-n,VG,2
bowl,power,02881193-n,05190804-n,T,2
pearl,he,13372403-n,14639921-n,T,2
enemy,gun,08190482-n,03467984-n,"HP, VG",2
hill,trail,09303008-n,09460312-n,"T, VG",2
boy,game,10285313-n,00455599-n,"A++, T",2
eye,water,05311054-n,14845743-n,"A++, HP",2
animal,foot,00015388-n,05563266-n,"Ar, VG",2
test,pass,05799212-n,00127286-n,"Q, T",2
agriculture,minister,01104406-n,09983572-n,"Q, T",2
male,bag,01321230-n,02773037-n,"Un, VG",2
flower,leaf,11669921-n,13152742-n,"T, VG",2
altar,marble,02699629-n,14947807-n,"Ar, T",2
planet,rings,09394007-n,04093223-n,Q,2
thing,master,13943968-n,10280130-n,"Ar, T",2
queen,king,02313008-n,10231515-n,"A++, T",2
Ezekiel,Prophets,10964520-n,06452601-n,C,1
nature,conceive,04726724-n,01633343-v,T,1
tennis_player,tennis_racket,10701180-n,04409806-n,VG,1
Mickey_Mouse,tail,02452014-n,02157557-n,VG,1
bottom,birthmark,08511241-n,04692638-n,T,1
napoleon,diamond,11200276-n,13371958-n,T,1
place,meet,08664443-n,07467846-n,T,1
beast,spot,00015388-n,08664443-n,T,1
control_panel,dial,03098140-n,03186696-n,VG,1
onion,cars,12433081-n,02958343-n,Q,1
geek,lab,10123615-n,03629986-n,T,1
butterfly,end,02274259-n,08566028-n,HP,1
historian,incentive,10177150-n,09179776-n,T,1
disc,regard,03924069-n,05820170-n,Un,1
groundhog,furs,02361587-n,14764061-n,Q,1
chandler,arm,10890437-n,05563770-n,Ar,1
plastid,structure,12962622-n,05225602-n,HP,1
toad,chest,01639765-n,05552607-n,Ar,1
i,simplicity,14641397-n,04766059-n,T,1
vietnam,objection,09163192-n,07246742-n,T,1
beard,balthasar,05261566-n,10832908-n,T,1
axon,information,05468849-n,06634376-n,HP,1
he,institution,14639921-n,08053576-n,T,1
isabella,child,11073795-n,09917593-n,T,1
pale,wax,03929952-n,15094294-n,T,1
it,recruit,06134510-n,10512372-n,T,1
hen,chicks,01792640-n,01792042-n,Q,1
cup,harvey,03147509-n,11033358-n,Q,1
i,coin,14641397-n,13388245-n,T,1
